iter	RMSE
0	8.949364897
1	8.579178363
2	8.218978533
3	7.916793696
4	7.647713935
5	7.396696396
6	7.175105075
7	6.964824489
8	6.755266584
9	6.584380012
10	6.434396636
11	6.291429187
12	6.164845787
13	6.049998548
14	5.93050893
15	5.836013305
16	5.726497681
17	5.637459996
18	5.53846682
19	5.465317537
20	5.39390539
21	5.326698696
22	5.27020463
23	5.221814348
24	5.174824875
25	5.113416325
26	5.068431954
27	5.026882377
28	4.982086795
29	4.953124196
30	4.916797558
31	4.894622759
32	4.86726052
33	4.844828258
34	4.826296071
35	4.810693427
36	4.786120678
37	4.753147745
38	4.735170795
39	4.712911037
40	4.701750875
41	4.683463851
42	4.673874778
43	4.657980142
44	4.630946652
45	4.609954195
46	4.598151009
47	4.587915446
48	4.561028537
49	4.53982901
50	4.528764237
51	4.509852774
52	4.491024672
53	4.483894043
54	4.477783959
55	4.463295192
56	4.444964558
57	4.435572018
58	4.429334758
59	4.420647412
60	4.415870391
61	4.412649907
62	4.396246738
63	4.390905382
64	4.374263343
65	4.372249891
66	4.36982601
67	4.361127098
68	4.352783869
69	4.349395472
70	4.346724093
71	4.343380123
72	4.335715832
73	4.330167655
74	4.327544235
75	4.317424898
76	4.311895162
77	4.308512654
78	4.302268569
79	4.300037069
80	4.291974323
81	4.285271799
82	4.279026535
83	4.272542016
84	4.264837678
85	4.26330916
86	4.255885095
87	4.25325466
88	4.242456775
89	4.23609653
90	4.234241653
91	4.23139317
92	4.226719583
93	4.225141193
94	4.219819605
95	4.218140292
96	4.215871675
97	4.211750997
98	4.209027856
99	4.203641633
100	4.199128758
101	4.196560707
102	4.193521554
103	4.191973892
104	4.190785216
105	4.187262251
106	4.186100765
107	4.181841355
108	4.177153245
109	4.17196587
110	4.166975212
111	4.166105182
112	4.1623182
113	4.160013892
114	4.159165222
115	4.15568377
116	4.150872344
117	4.149683947
118	4.14393579
119	4.140248055
120	4.135073987
121	4.132907566
122	4.130377527
123	4.12692338
124	4.124953621
125	4.121672924
126	4.116978107
127	4.113329673
128	4.111996153
129	4.111026704
130	4.110165897
131	4.105448632
132	4.099733735
133	4.097685127
134	4.096666132
135	4.095335063
136	4.094146939
137	4.092934097
138	4.091977635
139	4.089294238
140	4.085396328
141	4.08043827
142	4.0772385
143	4.075046664
144	4.073536704
145	4.070509879
146	4.069368566
147	4.066033579
148	4.064935661
149	4.06416539
150	4.06121975
151	4.057282946
152	4.054626658
153	4.052881212
154	4.052031261
155	4.04985465
156	4.045847026
157	4.042656296
158	4.039997973
159	4.038950069
160	4.035495007
161	4.03145881
162	4.029789431
163	4.028468773
164	4.026031063
165	4.022527951
166	4.021320212
167	4.019362508
168	4.017749362
169	4.016450928
170	4.014050152
171	4.012045984
172	4.010800479
173	4.010242357
174	4.00708288
175	4.005763546
176	4.003424219
177	4.002800921
178	4.001903388
179	3.999947288
180	3.998151904
181	3.996767843
182	3.994342974
183	3.993671945
184	3.992858048
185	3.991039274
186	3.989494226
187	3.988511415
188	3.98744648
189	3.986613198
190	3.985941564
191	3.983413238
192	3.982923752
193	3.980877915
194	3.978798452
195	3.977808501
196	3.976999008
197	3.975747553
198	3.97478866
199	3.973552505
200	3.972847295
201	3.971816996
202	3.97041126
203	3.96866411
204	3.968063567
205	3.966114273
206	3.964773752
207	3.963049757
208	3.961648392
209	3.960425056
210	3.959097747
211	3.95785362
212	3.956607709
213	3.95586136
214	3.955036126
215	3.953756746
216	3.952296173
217	3.951380394
218	3.950163208
219	3.948868974
220	3.947576228
221	3.945571799
222	3.944937628
223	3.943800623
224	3.942647963
225	3.941926678
226	3.940911646
227	3.939011628
228	3.938113793
229	3.93699333
230	3.936235056
231	3.935196728
232	3.934572471
233	3.933119695
234	3.93239294
235	3.931627088
236	3.930895151
237	3.930113015
238	3.929412702
239	3.92743352
240	3.926506492
241	3.925939871
242	3.92543681
243	3.92365847
244	3.922804576
245	3.922345638
246	3.920604365
247	3.919629818
248	3.918265374
249	3.917425991
250	3.916889312
251	3.916067681
252	3.915524419
253	3.915005885
254	3.914502856
255	3.914023075
256	3.913418203
257	3.912268231
258	3.911347421
259	3.910409478
260	3.907816285
261	3.906872919
262	3.904435593
263	3.903726961
264	3.903360985
265	3.902693585
