iter	Passed	Remaining
0	3	3923
1	7	3581
2	10	3466
3	13	3400
4	16	3354
5	19	3302
6	22	3254
7	26	3251
8	29	3237
9	32	3228
10	35	3210
11	38	3196
12	42	3191
13	45	3192
14	48	3195
15	51	3190
16	54	3169
17	57	3155
18	61	3153
19	63	3135
20	67	3132
21	70	3131
22	73	3122
23	76	3117
24	79	3116
25	82	3108
26	86	3110
27	89	3111
28	92	3101
29	95	3095
30	98	3089
31	102	3092
32	105	3087
33	108	3094
34	112	3093
35	115	3086
36	118	3076
37	121	3073
38	124	3066
39	127	3064
40	130	3056
41	133	3054
42	136	3042
43	139	3033
44	142	3027
45	145	3025
46	149	3028
47	152	3022
48	155	3018
49	158	3015
50	161	3009
51	164	3002
52	167	2999
53	170	2993
54	173	2985
55	176	2980
56	179	2977
57	183	2977
58	186	2970
59	189	2965
60	192	2960
61	195	2955
62	198	2956
63	201	2951
64	204	2947
65	207	2941
66	210	2934
67	213	2930
68	216	2926
69	220	2923
70	223	2918
71	226	2914
72	229	2909
73	232	2906
74	235	2901
75	238	2895
76	241	2892
77	244	2886
78	247	2880
79	250	2876
80	253	2873
81	256	2870
82	259	2865
83	262	2861
84	265	2857
85	268	2853
86	271	2848
87	274	2845
88	277	2843
89	280	2838
90	283	2833
91	286	2827
92	289	2823
93	292	2817
94	295	2812
95	298	2808
96	301	2804
97	304	2800
98	307	2795
99	310	2792
100	313	2790
101	316	2785
102	319	2782
103	322	2779
104	325	2775
105	328	2770
106	331	2766
107	334	2762
108	337	2759
109	340	2757
110	343	2754
111	346	2750
112	350	2747
113	353	2744
114	356	2742
115	359	2738
116	362	2735
117	365	2731
118	368	2728
119	371	2725
120	374	2722
121	377	2719
122	380	2716
123	383	2712
124	386	2708
125	389	2704
126	393	2701
127	396	2698
128	398	2694
129	402	2691
130	405	2686
131	408	2683
132	411	2681
133	414	2677
134	417	2673
135	420	2670
136	423	2665
137	426	2663
138	429	2659
139	432	2656
140	435	2653
141	438	2651
142	441	2648
143	444	2645
144	448	2641
145	451	2639
146	454	2636
147	457	2632
148	460	2629
149	463	2624
150	466	2621
151	469	2618
152	472	2615
153	475	2611
154	478	2608
155	481	2605
156	484	2602
157	487	2600
158	490	2596
159	494	2593
160	497	2591
161	500	2588
162	503	2585
163	506	2581
164	509	2579
165	512	2576
166	516	2573
167	518	2570
168	521	2566
169	524	2562
170	528	2560
171	531	2557
172	534	2553
173	537	2550
174	540	2547
175	543	2543
176	546	2540
177	549	2536
178	552	2533
179	555	2530
180	558	2526
181	561	2523
182	564	2520
183	567	2516
184	570	2513
185	573	2510
186	576	2507
187	579	2504
188	582	2501
189	585	2497
190	588	2493
191	592	2491
192	594	2487
193	597	2484
194	601	2481
195	604	2477
196	607	2475
197	610	2471
198	613	2468
199	616	2465
200	619	2461
201	622	2457
202	625	2454
203	628	2452
204	631	2448
205	634	2445
206	637	2441
207	640	2438
208	643	2435
209	646	2432
210	649	2428
211	652	2425
212	655	2422
213	658	2419
214	661	2415
215	664	2412
216	667	2409
217	670	2406
218	673	2402
219	676	2399
220	679	2396
221	682	2393
222	686	2390
223	689	2386
224	691	2383
225	695	2380
226	698	2377
227	701	2374
228	704	2371
229	707	2367
230	710	2365
231	713	2361
232	716	2358
233	719	2356
234	722	2352
235	725	2349
236	728	2345
237	731	2342
238	734	2339
239	737	2336
240	740	2333
241	743	2330
242	746	2326
243	750	2324
244	753	2321
245	756	2317
246	759	2314
247	762	2311
248	767	2314
249	770	2311
250	773	2308
251	776	2304
252	779	2300
253	782	2297
254	785	2294
255	788	2291
256	791	2287
257	794	2284
258	797	2281
259	800	2278
260	803	2275
261	806	2272
262	809	2269
263	812	2266
264	815	2262
265	818	2259
266	821	2255
267	824	2252
268	827	2249
269	830	2246
270	833	2243
271	836	2240
272	840	2237
273	843	2233
274	846	2230
275	849	2227
276	852	2224
277	855	2221
278	858	2217
279	861	2215
280	864	2211
281	867	2208
282	870	2205
283	873	2202
284	876	2198
285	879	2195
286	882	2192
287	885	2189
288	888	2185
289	891	2182
290	894	2179
291	897	2176
292	900	2173
293	903	2170
294	906	2167
295	910	2164
296	913	2161
297	916	2158
298	919	2155
299	922	2152
300	925	2148
301	928	2146
302	931	2142
303	934	2140
304	937	2136
305	940	2133
306	944	2131
307	947	2128
308	950	2124
309	953	2121
310	956	2118
311	959	2115
312	962	2112
313	965	2108
314	968	2105
315	971	2102
316	974	2099
317	977	2095
318	980	2092
319	983	2089
320	986	2086
321	989	2083
322	992	2080
323	995	2077
324	998	2074
325	1001	2071
326	1005	2068
327	1008	2065
328	1011	2062
329	1014	2059
330	1017	2056
331	1020	2053
332	1023	2050
333	1026	2047
334	1029	2044
335	1032	2040
336	1035	2037
337	1038	2034
338	1041	2031
339	1044	2028
340	1048	2025
341	1051	2022
342	1054	2019
343	1057	2016
344	1060	2013
345	1063	2010
346	1066	2007
347	1069	2004
348	1072	2000
349	1075	1998
350	1079	1995
351	1082	1992
352	1085	1989
353	1088	1986
354	1091	1983
355	1094	1980
356	1097	1976
357	1100	1973
358	1103	1970
359	1106	1967
360	1109	1964
361	1112	1961
362	1115	1957
363	1118	1954
364	1121	1951
365	1124	1948
366	1128	1945
367	1131	1942
368	1134	1939
369	1137	1936
370	1140	1933
371	1143	1930
372	1146	1926
373	1149	1923
374	1152	1921
375	1155	1917
376	1158	1915
377	1161	1912
378	1165	1909
379	1168	1906
380	1171	1902
381	1174	1899
382	1177	1896
383	1180	1893
384	1183	1890
385	1186	1887
386	1189	1884
387	1192	1880
388	1195	1877
389	1198	1874
390	1201	1871
391	1204	1868
392	1207	1865
393	1210	1862
394	1213	1859
395	1216	1856
396	1219	1852
397	1222	1849
398	1225	1846
399	1228	1843
400	1232	1840
401	1235	1837
402	1238	1834
403	1241	1831
