iter	RMSE
0	8.98483055
1	8.621659095
2	8.29613669
3	8.005029196
4	7.745118308
5	7.523158046
6	7.305392064
7	7.116441226
8	6.959102299
9	6.802640612
10	6.662716332
11	6.534676476
12	6.421691551
13	6.320841881
14	6.230291747
15	6.153313205
16	6.075525249
17	6.00616132
18	5.946689345
19	5.895622715
20	5.848873606
21	5.802039305
22	5.759610487
23	5.715651201
24	5.680472
25	5.651988902
26	5.622208887
27	5.594860897
28	5.562045849
29	5.540031298
30	5.518730613
31	5.494520343
32	5.477058903
33	5.461054003
34	5.442772955
35	5.428449348
36	5.411292258
37	5.395986857
38	5.382176226
39	5.371593347
40	5.359111229
41	5.349136368
42	5.337675383
43	5.323683038
44	5.311718658
45	5.301563657
46	5.293115083
47	5.28493301
48	5.279214896
49	5.273313755
50	5.263498841
51	5.254245786
52	5.248970653
53	5.240153366
54	5.233904827
55	5.227638246
56	5.222890972
57	5.219470386
58	5.210470187
59	5.204963939
60	5.194996297
61	5.190219381
62	5.185816516
63	5.178813756
64	5.172168567
65	5.169200293
66	5.16556253
67	5.162994634
68	5.159690078
69	5.151702296
70	5.144979422
71	5.140890865
72	5.136956077
73	5.135212755
74	5.130584875
75	5.124796381
76	5.118937971
77	5.109803433
78	5.100039178
79	5.097084057
80	5.091802397
81	5.086089196
82	5.084395994
83	5.081243935
84	5.074711025
85	5.070255168
86	5.067650954
87	5.063790748
88	5.062302748
89	5.058130111
90	5.055856508
91	5.052654167
92	5.048912355
93	5.043311413
94	5.036988955
95	5.034305239
96	5.030646998
97	5.025114122
98	5.023138296
99	5.022387644
100	5.013962396
101	5.010856296
102	5.0084009
103	5.006352583
104	5.002723452
105	4.997634478
106	4.990691141
107	4.989225175
108	4.984213708
109	4.981326857
110	4.975923982
111	4.974692828
112	4.968965559
113	4.967510916
114	4.96136375
115	4.958472028
116	4.951973313
117	4.94917214
118	4.947577649
119	4.941219302
120	4.939495715
121	4.937253106
122	4.933201921
123	4.931179375
124	4.92796776
125	4.923087213
126	4.920045133
127	4.917226425
128	4.912448565
129	4.908209297
130	4.90484281
131	4.903891946
132	4.902269556
133	4.901448533
134	4.899019569
135	4.896099712
136	4.893593401
137	4.891212275
138	4.888815574
139	4.885831346
140	4.883823465
141	4.882892088
142	4.880467
143	4.877340777
144	4.873686282
145	4.871518771
146	4.868979174
147	4.864873555
148	4.85784116
149	4.853150575
150	4.851918723
151	4.849574629
152	4.842597713
153	4.840195983
154	4.836037048
155	4.831336248
156	4.829440764
157	4.826017211
158	4.82345864
159	4.821443686
160	4.819244482
161	4.817156375
162	4.814687238
163	4.812748318
164	4.810570325
165	4.808035769
166	4.805068923
167	4.803537465
168	4.796763901
169	4.793794358
170	4.791883541
171	4.788547477
172	4.784982276
173	4.779404211
174	4.77712263
175	4.775311648
176	4.770001747
177	4.76771259
178	4.765394148
179	4.76018557
180	4.757978722
181	4.755998689
182	4.752277933
183	4.751207364
184	4.748021132
185	4.742625304
186	4.740435339
187	4.737043124
188	4.735026925
189	4.733214178
190	4.728212139
191	4.72667523
192	4.723045866
193	4.721381212
194	4.719752312
195	4.714386296
196	4.712413222
197	4.71117827
198	4.709202194
199	4.704682364
200	4.702600922
201	4.700809329
202	4.695867649
203	4.694263536
204	4.692937176
205	4.69110531
206	4.688077642
207	4.686692975
208	4.682184862
209	4.681157161
210	4.679788598
211	4.676960607
212	4.673042805
213	4.670281746
214	4.668540324
215	4.667170819
216	4.663491252
217	4.661941046
218	4.660124293
219	4.657444545
220	4.653956924
221	4.651819733
222	4.650716994
223	4.648325919
224	4.647700633
225	4.645627261
226	4.640941014
227	4.637557374
228	4.636325297
229	4.635218808
230	4.632789706
231	4.630716669
232	4.629089052
233	4.624817742
234	4.621303457
235	4.619526587
236	4.61797276
237	4.614146596
238	4.613014801
239	4.611723156
240	4.608592188
241	4.60677475
242	4.605104549
243	4.601333451
244	4.600066225
245	4.597057855
246	4.595485105
247	4.593072378
248	4.590073421
249	4.587705398
250	4.586354182
251	4.584796268
252	4.583882097
253	4.581664648
254	4.579619535
255	4.578445842
256	4.577138184
257	4.575667383
258	4.574677932
259	4.573590999
260	4.571701828
261	4.569219476
262	4.568081104
263	4.567048313
264	4.566156505
265	4.564085741
266	4.562315151
267	4.561030547
268	4.558343843
269	4.556226034
270	4.555173933
271	4.554171817
272	4.5533563
273	4.55136809
274	4.550216304
275	4.54835412
276	4.545268899
277	4.543929559
278	4.54259203
279	4.541214118
280	4.53823921
281	4.535123799
282	4.533853175
283	4.533027208
284	4.531414056
285	4.529335082
286	4.528241056
287	4.526664019
288	4.525484432
289	4.524380023
290	4.523256431
291	4.521999907
292	4.521213277
293	4.520247959
294	4.517519837
295	4.516563466
296	4.515201614
297	4.512133871
298	4.509274573
299	4.507572534
300	4.506583721
301	4.505397391
302	4.504191395
303	4.50295792
304	4.501741925
305	4.500286363
306	4.497240705
307	4.495721477
308	4.494978143
309	4.49221122
310	4.490653653
311	4.488198834
312	4.487088516
313	4.48612702
314	4.48493782
315	4.484090495
316	4.483075508
317	4.480500693
318	4.478278299
319	4.477134932
320	4.476446448
321	4.475184981
322	4.473606562
323	4.472200207
324	4.470469198
325	4.469663183
326	4.469046093
327	4.467686893
328	4.465941374
329	4.464844188
330	4.463036493
331	4.460937069
332	4.459182757
333	4.457616936
334	4.456485258
335	4.454347801
336	4.453309328
337	4.452593004
338	4.451982099
339	4.451264825
340	4.449448232
341	4.447641874
342	4.446686153
343	4.444817643
344	4.443309211
345	4.442423262
346	4.441615933
347	4.440340235
348	4.439633676
349	4.438603017
350	4.436791101
351	4.435819333
352	4.434986039
353	4.434226169
354	4.43275782
355	4.432203375
356	4.431185954
357	4.429065181
358	4.427845633
359	4.427177421
360	4.426261485
361	4.425329384
362	4.423021203
363	4.421177516
364	4.420584316
365	4.418437626
366	4.416091132
367	4.413885327
368	4.412688803
369	4.411368738
370	4.410519282
371	4.409416248
372	4.407721627
373	4.405512428
374	4.404409813
375	4.402497194
376	4.401641125
377	4.401188485
378	4.400521504
379	4.399100447
380	4.39741795
381	4.396639985
382	4.395480888
383	4.394502895
384	4.39297372
385	4.392395065
386	4.39152968
387	4.390675286
388	4.389916336
389	4.388817463
390	4.387949418
391	4.387000093
392	4.385324317
393	4.384549416
394	4.383386135
395	4.382767022
396	4.381809553
397	4.380905383
398	4.379645442
399	4.378803935
400	4.377880779
401	4.376921274
402	4.375653728
403	4.374059377
404	4.373550704
405	4.372108002
406	4.3700567
407	4.369148216
408	4.368529901
409	4.367791049
410	4.366634015
411	4.365326223
412	4.364648618
413	4.362701454
414	4.361999483
415	4.361178224
416	4.359359327
417	4.358363547
418	4.357589994
419	4.356826421
420	4.356309842
421	4.355581763
422	4.35415623
423	4.353592914
424	4.352818366
425	4.351975655
426	4.351402181
427	4.350466866
428	4.349826485
429	4.349012866
430	4.348283314
431	4.347752122
432	4.346904153
433	4.345451124
434	4.344100609
435	4.343212737
436	4.342591222
437	4.341582437
438	4.340087526
439	4.338721352
440	4.338184329
441	4.337560506
442	4.336856601
443	4.335565291
444	4.334841964
445	4.334093997
446	4.33271116
447	4.332189843
448	4.330421398
449	4.329713332
450	4.329139721
451	4.328326909
452	4.327533813
453	4.326345285
454	4.325372311
455	4.324357352
456	4.323295366
457	4.321789223
458	4.321155988
459	4.320632434
460	4.320322782
461	4.319855032
462	4.319500559
463	4.318601428
464	4.317908897
465	4.317464905
466	4.316217837
467	4.315512639
468	4.314787878
469	4.313647579
470	4.312197493
471	4.310929934
472	4.309636193
473	4.308413559
474	4.306618166
475	4.30603425
476	4.305337662
477	4.304887839
478	4.303794772
479	4.303156041
480	4.30224765
481	4.30134472
482	4.300491923
483	4.299788518
484	4.299337573
485	4.298851464
486	4.297954432
487	4.296429789
488	4.295724538
489	4.295221552
490	4.294875429
491	4.294260743
492	4.293796028
493	4.293432752
494	4.292794087
495	4.291553957
496	4.290644936
497	4.289465609
